# Lyra2.0 trained net: Lyra2WanModel
# checkpoint: outputs/lyra2_v2/lyra_2/maze/lyra2_maze_selfaug/checkpoints/iter_000041500
# total parameters:     243,647,504
# trainable parameters: 243,647,504
# frozen parameters:    0
# num tensors:          311
#
# name                             	shape	numel	state
blocks.15.buffer_encoder.0.weight	(256, 5120)	1310720	train
blocks.15.buffer_encoder.1.weight	(1024, 256)	262144	train
head.modulation                  	(1, 2, 1024)	2048	train
head.head.weight                 	(16, 1024)	16384	train
head.head.bias                   	(16,)	16	train
clean_patch_embeddings.0.weight  	(1024, 36)	36864	train
clean_patch_embeddings.0.bias    	(1024,)	1024	train
clean_patch_embeddings.1.weight  	(1024, 144)	147456	train
clean_patch_embeddings.1.bias    	(1024,)	1024	train
clean_patch_embeddings.2.weight  	(1024, 36)	36864	train
clean_patch_embeddings.2.bias    	(1024,)	1024	train
clean_patch_embeddings.3.weight  	(1024, 2304)	2359296	train
clean_patch_embeddings.3.bias    	(1024,)	1024	train
clean_patch_embeddings.4.weight  	(1024, 288)	294912	train
clean_patch_embeddings.4.bias    	(1024,)	1024	train
clean_patch_embeddings.5.weight  	(1024, 36)	36864	train
clean_patch_embeddings.5.bias    	(1024,)	1024	train
